Time,FR_q0,FR_q1,FR_q2,FL_q0,FL_q1,FL_q2,RL_q0,RL_q1,RL_q2,RR_q0,RR_q1,RR_q2,FR_t0,FR_t1,FR_t2,FL_t0,FL_t1,FL_t2,RL_t0,RL_t1,RL_t2,RR_t0,RR_t1,RR_t2,foot_0,foot_1,foot_2,foot_3,FR,FL,RR,RL
0.773632,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58804,0.0573456,0.800356,-1.5817,1.25781,0.292969,4.22656,-1.13672,0.292969,4.48828,-1.38281,0.441406,4.5625,1.21094,0.171875,4.44922,415,461,420,498,1,1,1,1
0.783801,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58804,0.0573456,0.800356,-1.5817,1.25781,0.292969,4.22656,-1.13672,0.292969,4.48828,-1.38281,0.441406,4.5625,1.21094,0.171875,4.44922,415,461,420,498,1,1,1,1
0.794245,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58804,0.0573456,0.800356,-1.5817,1.25781,0.292969,4.22656,-1.13672,0.292969,4.48828,-1.38281,0.441406,4.5625,1.21094,0.171875,4.44922,415,461,420,498,1,1,1,1
0.80498,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58804,0.0573456,0.800356,-1.5817,1.25781,0.292969,4.22656,-1.13672,0.292969,4.48828,-1.38281,0.441406,4.5625,1.21094,0.171875,4.44922,415,461,420,498,1,1,1,1
0.815312,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.18359,0.320312,4.07812,-1.13672,0.417969,4.375,-1.40625,0.34375,4.63672,1.13672,0.246094,4.22656,415,461,420,498,1,1,1,1
0.825779,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.18359,0.320312,4.07812,-1.13672,0.417969,4.375,-1.40625,0.34375,4.63672,1.13672,0.246094,4.22656,415,461,420,498,1,1,1,1
0.836349,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.18359,0.320312,4.07812,-1.13672,0.417969,4.375,-1.40625,0.34375,4.63672,1.13672,0.246094,4.22656,415,461,420,498,1,1,1,1
0.847098,0.0563162,0.79424,-1.58238,-0.0535307,0.795754,-1.58622,-0.050624,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.18359,0.320312,4.07812,-1.13672,0.417969,4.375,-1.40625,0.34375,4.63672,1.13672,0.246094,4.22656,415,461,420,498,1,1,1,1
0.857564,0.0562556,0.79418,-1.58238,-0.0535307,0.795754,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.16016,0.292969,3.96875,-1.18359,0.367188,4.33984,-1.30859,0.367188,4.78516,1.18359,0.195312,4.33984,415,462,420,499,1,1,1,1
0.867982,0.0562556,0.79418,-1.58238,-0.0535307,0.795754,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.16016,0.292969,3.96875,-1.18359,0.367188,4.33984,-1.30859,0.367188,4.78516,1.18359,0.195312,4.33984,415,462,420,499,1,1,1,1
0.878771,0.0562556,0.79418,-1.58238,-0.0535307,0.795754,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.16016,0.292969,3.96875,-1.18359,0.367188,4.33984,-1.30859,0.367188,4.78516,1.18359,0.195312,4.33984,415,462,420,499,1,1,1,1
0.889253,0.0562556,0.79418,-1.58238,-0.0535307,0.795754,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58166,1.16016,0.292969,3.96875,-1.18359,0.367188,4.33984,-1.30859,0.367188,4.78516,1.18359,0.195312,4.33984,415,462,420,499,1,1,1,1
0.899554,0.0563162,0.79424,-1.58242,-0.0535307,0.795754,-1.58622,-0.050624,0.793816,-1.58808,0.0574062,0.800356,-1.58166,1.21094,0.320312,4.11719,-1.13672,0.320312,4.44922,-1.38281,0.394531,4.48828,1.21094,0.195312,4.19141,415,462,420,498,1,1,1,1
0.910537,0.0563162,0.79424,-1.58242,-0.0535307,0.795754,-1.58622,-0.050624,0.793816,-1.58808,0.0574062,0.800356,-1.58166,1.21094,0.320312,4.11719,-1.13672,0.320312,4.44922,-1.38281,0.394531,4.48828,1.21094,0.195312,4.19141,415,462,420,498,1,1,1,1
0.920813,0.0563162,0.79424,-1.58242,-0.0535307,0.795754,-1.58622,-0.050624,0.793816,-1.58808,0.0574062,0.800356,-1.58166,1.21094,0.320312,4.11719,-1.13672,0.320312,4.44922,-1.38281,0.394531,4.48828,1.21094,0.195312,4.19141,415,462,420,498,1,1,1,1
0.931256,0.0563162,0.79424,-1.58238,-0.0535912,0.795754,-1.58622,-0.0506846,0.793816,-1.58808,0.0573456,0.800296,-1.58166,1.28516,0.542969,4.04297,-1.21094,0.417969,4.30078,-1.38281,0.417969,4.5625,1.28516,0.246094,4.15234,415,462,420,498,1,1,1,1
0.941416,0.0563162,0.79424,-1.58238,-0.0535912,0.795754,-1.58622,-0.0506846,0.793816,-1.58808,0.0573456,0.800296,-1.58166,1.28516,0.542969,4.04297,-1.21094,0.417969,4.30078,-1.38281,0.417969,4.5625,1.28516,0.246094,4.15234,415,462,420,498,1,1,1,1
0.951682,0.0563162,0.79424,-1.58238,-0.0535912,0.795754,-1.58622,-0.0506846,0.793816,-1.58808,0.0573456,0.800296,-1.58166,1.28516,0.542969,4.04297,-1.21094,0.417969,4.30078,-1.38281,0.417969,4.5625,1.28516,0.246094,4.15234,415,462,420,498,1,1,1,1
0.961913,0.0563162,0.79424,-1.58238,-0.0535912,0.795754,-1.58622,-0.0506846,0.793816,-1.58808,0.0573456,0.800296,-1.58166,1.28516,0.542969,4.04297,-1.21094,0.417969,4.30078,-1.38281,0.417969,4.5625,1.28516,0.246094,4.15234,415,462,420,498,1,1,1,1
0.97212,0.0563162,0.79424,-1.58238,-0.0535912,0.795754,-1.58622,-0.0506846,0.793816,-1.58808,0.0573456,0.800296,-1.58166,1.28516,0.542969,4.04297,-1.21094,0.417969,4.30078,-1.38281,0.417969,4.5625,1.28516,0.246094,4.15234,415,462,420,498,1,1,1,1
0.982362,0.0562556,0.79418,-1.58238,-0.0535307,0.795693,-1.58626,-0.050624,0.793816,-1.58808,0.0573456,0.800356,-1.58162,1.23438,0.269531,4.00391,-1.01172,0.320312,4.30078,-1.35938,0.34375,4.52344,1.23438,0.246094,4.15234,415,462,420,498,1,1,1,1
0.993309,0.0562556,0.79418,-1.58238,-0.0535307,0.795693,-1.58626,-0.050624,0.793816,-1.58808,0.0573456,0.800356,-1.58162,1.23438,0.269531,4.00391,-1.01172,0.320312,4.30078,-1.35938,0.34375,4.52344,1.23438,0.246094,4.15234,415,462,420,498,1,1,1,1
1.00348,0.0562556,0.79418,-1.58238,-0.0535307,0.795693,-1.58626,-0.050624,0.793816,-1.58808,0.0573456,0.800356,-1.58162,1.23438,0.269531,4.00391,-1.01172,0.320312,4.30078,-1.35938,0.34375,4.52344,1.23438,0.246094,4.15234,415,462,420,498,1,1,1,1
1.01377,0.0563162,0.79418,-1.58238,-0.0535912,0.795693,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.11719,-1.13672,0.394531,4.375,-1.38281,0.417969,4.52344,1.18359,0.269531,4.19141,415,461,420,498,1,1,1,1
1.02399,0.0563162,0.79418,-1.58238,-0.0535912,0.795693,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.11719,-1.13672,0.394531,4.375,-1.38281,0.417969,4.52344,1.18359,0.269531,4.19141,415,461,420,498,1,1,1,1
1.03495,0.0563162,0.79418,-1.58238,-0.0535912,0.795693,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.11719,-1.13672,0.394531,4.375,-1.38281,0.417969,4.52344,1.18359,0.269531,4.19141,415,461,420,498,1,1,1,1
1.04538,0.0563162,0.79418,-1.58238,-0.0535912,0.795693,-1.58622,-0.0506846,0.793877,-1.58808,0.0574062,0.800356,-1.58162,1.33203,0.292969,4.11719,-1.13672,0.394531,4.375,-1.38281,0.417969,4.52344,1.18359,0.269531,4.19141,415,461,420,498,1,1,1,1
